Id,PatientTaskHandMappingId,SegmentId,Start,End,CreatedAt,UpdatedAt
123,55,1,74,136,2022-12-30 18:16:25.5168503,2022-12-30 18:40:53.4311278
124,55,2,92,135,2022-12-30 18:16:25.5837253,2022-12-30 18:40:53.4496511
125,55,3,136,170,2022-12-30 18:16:25.5916297,2022-12-30 18:40:53.4587387
126,55,6,170,306,2022-12-30 18:16:25.5995009,2022-12-30 18:40:53.4679385
127,55,5,305,336,2022-12-30 18:16:25.6074295,2022-12-30 18:40:53.4767134
128,55,4,336,435,2022-12-30 18:16:25.6208818,2022-12-30 18:40:53.4851945
129,169,1,90,194,2022-12-30 18:22:00.0705598,2022-12-30 18:22:00.0705601
130,169,2,109,194,2022-12-30 18:22:00.1143164,2022-12-30 18:22:00.1143169
131,169,3,194,214,2022-12-30 18:22:00.1228986,2022-12-30 18:22:00.1228990
132,169,4,214,288,2022-12-30 18:22:00.1305550,2022-12-30 18:22:00.1305554
133,158,7,101,109,2022-12-30 18:25:55.4826580,2022-12-30 18:27:57.3962494
134,158,8,109,118,2022-12-30 18:25:55.4970534,2022-12-30 18:27:57.4141438
135,158,6,118,133,2022-12-30 18:25:55.5046180,2022-12-30 18:27:57.4229048
136,152,1,50,71,2022-12-30 18:34:13.1508073,2022-12-30 18:34:13.1508076
137,152,2,59,71,2022-12-30 18:34:13.1702319,2022-12-30 18:34:13.1702323
138,152,3,71,91,2022-12-30 18:34:13.1787019,2022-12-30 18:34:13.1787024
139,152,4,91,239,2022-12-30 18:34:13.1870526,2022-12-30 18:34:13.1870528
140,134,1,66,95,2022-12-30 18:36:44.8860260,2022-12-30 18:36:44.8860271
141,134,2,79,95,2022-12-30 18:36:44.9050923,2022-12-30 18:36:44.9050927
142,134,3,94,111,2022-12-30 18:36:44.9132768,2022-12-30 18:36:44.9132771
143,134,4,111,131,2022-12-30 18:36:44.9207621,2022-12-30 18:36:44.9207623
144,113,1,53,73,2022-12-30 18:40:32.2762759,2022-12-30 18:40:32.2762764
145,113,2,62,73,2022-12-30 18:40:32.2948125,2022-12-30 18:40:32.2948128
146,113,3,73,88,2022-12-30 18:40:32.3126746,2022-12-30 18:40:32.3126749
147,113,4,88,147,2022-12-30 18:40:32.3204414,2022-12-30 18:40:32.3204417
148,111,1,48,82,2022-12-30 18:43:41.1822116,2022-12-30 18:43:41.1822122
149,111,2,65,83,2022-12-30 18:43:41.2012745,2022-12-30 18:43:41.2012749
150,111,3,83,99,2022-12-30 18:43:41.2092037,2022-12-30 18:43:41.2092040
151,111,4,99,158,2022-12-30 18:43:41.2167440,2022-12-30 18:43:41.2167442
152,92,1,84,130,2022-12-30 18:48:01.5849108,2022-12-30 18:48:01.5849114
153,92,2,100,130,2022-12-30 18:48:01.6100024,2022-12-30 18:48:01.6100027
